user_id,sku_id
200033,44854
200107,116670
200208,132865
200229,21147
200288,166707
200438,52343
200527,44854
200678,131300
200756,57018
201176,31662
201252,79520
201328,138151
201341,154636
201441,61581
201568,12564
201931,6033
201989,166707
202077,61531
202297,24679
202608,166354
202755,75527
203029,75877
203063,63006
203138,81462
203426,40336
203518,126146
203534,166707
203624,50688
203644,109083
203677,18412
203728,44854
203734,166707
203898,21147
204120,44854
204253,154636
204294,18412
204352,166624
204374,57018
204399,44854
204432,12564
204486,169819
204503,131300
204523,142140
204535,154636
204676,154636
204740,15258
204759,57018
204953,73469
204978,57018
205028,153607
205031,24371
205038,100589
205066,97025
205117,84409
205255,65520
205411,126146
205481,31662
205596,31662
205673,138778
205732,103132
206046,63006
206143,154636
206276,44854
206318,126146
206429,65520
206461,117996
206472,151327
206522,131300
206536,166354
206544,166707
206550,63006
206554,65520
206598,47193
206602,94561
206758,147833
206814,154636
206978,145946
206992,74517
206994,57018
206995,115851
207012,32465
207071,154636
207148,146523
207171,154636
207285,128988
207363,128988
207377,154636
207385,164318
207400,138151
207427,155233
207455,140807
207468,167310
207483,32465
207504,153395
207522,12564
207526,63006
207534,154636
207544,19233
207545,57018
207554,88295
207777,37957
207838,65520
207849,57018
207900,8466
207982,62351
208000,79520
208003,84389
208103,65520
208189,65520
208199,166354
208215,20308
208316,44854
208362,138151
208386,6809
208464,32465
208551,31662
208626,139565
208812,60230
208850,134619
208886,12564
209038,97025
209077,15259
209101,57018
209207,124736
209244,79106
209331,93295
209335,84389
209386,144170
209434,134330
209601,44854
209671,47895
209723,108824
209733,18412
209804,31662
210020,140807
210039,80462
210339,125110
210412,24371
210714,65520
210801,109083
210866,160476
210936,32465
210947,65520
211017,149854
211045,166876
211098,60861
211170,5825
211201,44854
211230,14181
211297,148421
211374,63006
211454,144267
211457,126146
211616,142140
211633,18412
211635,57018
211649,134619
211672,154636
211686,126146
211733,61226
211792,69355
211811,15106
211928,69355
211966,18103
212063,152872
212258,139483
212275,113305
212280,32465
212305,144549
212484,166624
212485,23696
212599,18412
212614,21147
212785,75877
212970,138151
212996,31662
213049,128988
213238,84389
213292,112332
213298,18412
213314,116489
213430,65520
213446,52343
213476,123578
213594,154636
213709,142140
213743,6486
213746,128988
214011,65520
214052,12564
214053,154636
214064,116489
214095,61226
214126,164211
214161,103132
214249,12564
214275,32056
214341,32465
214398,69209
214509,127425
214520,69858
214537,115495
214683,25409
214723,154636
214734,167560
214782,94556
214839,68767
214877,57018
214892,108824
214978,31662
215023,154636
215215,112513
215329,84389
215400,154636
215476,32465
215512,78694
215517,36171
215525,48895
215561,43062
215831,126146
215858,57018
215964,59175
215984,104416
215993,47193
216045,107012
216079,18189
216163,61226
216210,151327
216235,72073
216273,84389
216280,131777
216379,142140
216389,169819
216448,57018
216597,44854
216687,75539
216784,94652
216796,63006
216884,21147
216931,138151
216937,154636
217062,84389
217114,73469
217174,153551
217190,75877
217231,79520
217540,134619
217543,65520
217717,5505
217757,152483
217763,59175
217771,40336
217804,69355
217870,32465
217924,154636
217961,146523
218019,131300
218118,63006
218144,85689
218178,32465
218204,63006
218264,106714
218321,65520
218404,32465
218442,65520
218484,57018
218550,62863
218569,77837
218664,65520
218857,126146
218872,91393
218885,18103
219090,151327
219098,109726
219459,21147
219473,68615
219659,73469
219752,134619
219754,63006
219770,127735
219814,78694
220182,57018
220303,15661
220393,126146
220491,109728
220625,14163
220634,32465
220724,69209
220894,59175
221043,128747
221138,126146
221200,46990
221219,21147
221414,164252
221474,21147
221488,63006
221591,22438
221629,47193
221631,5825
221716,21147
221736,126146
221764,88295
221847,65520
221885,57018
221899,154636
222047,65520
222167,21147
222176,120189
222209,75527
222308,154636
222371,103014
222436,62351
222452,47193
222536,149854
222559,75836
222618,44854
222683,114640
222784,57018
222806,161594
222867,65520
222881,63006
223012,142196
223066,117452
223088,57018
223124,138151
223187,125756
223194,61531
223207,65520
223264,24371
223340,154636
223359,40336
223402,131300
223486,36371
223570,65520
223884,105052
223930,57161
224114,154636
224173,65520
224340,39667
224386,5940
224387,69230
224494,57018
224555,63006
224691,154636
224853,63006
224877,32465
224879,154636
224883,68615
224955,63006
224978,65520
225041,63006
225249,111741
225295,52476
225297,44854
225363,24065
225482,69209
225714,17470
225833,149854
225884,154636
226000,57018
226030,77723
226136,146704
226202,12564
226385,63006
226388,43062
226408,37390
226495,31008
226537,126146
226589,88295
226704,37254
226806,44854
226831,41101
226891,57018
226899,119111
226918,65520
226966,57018
227205,24371
227382,169819
227393,65520
227397,12564
227455,163754
227600,167983
227610,44854
227690,63006
227694,84389
228100,126146
228155,38222
228159,75527
228181,154636
228340,31662
228426,8515
228533,142477
228550,17470
228561,31662
228639,31662
228689,10321
228715,5825
228830,155911
228841,84688
228905,32465
228933,31662
228937,138151
229011,6533
229045,154636
229060,128747
229150,20308
229219,129889
229250,154636
229258,60230
229272,24371
229278,115867
229475,32465
229570,168651
229788,24371
229906,12564
229952,60230
230013,15259
230114,18412
230307,83144
230367,57018
230623,154636
230657,32465
230879,75877
230893,20308
230989,44854
230996,130563
231059,152478
231105,24371
231187,77447
231269,145946
231292,154636
231437,65520
231577,36307
231587,21147
231636,106714
231770,75527
231773,16839
231774,63006
231803,164544
231840,32465
231863,14163
231975,81462
232086,59175
232254,60230
232269,69355
232319,21147
232342,149295
232361,12564
232476,164609
232519,59175
232565,153551
232593,149641
232605,79405
232801,63006
232942,161870
232954,37957
232984,31662
233072,63006
233129,154636
233138,126146
233193,44854
233301,103234
233485,61226
233520,98253
233582,68615
233713,65520
233802,44854
234039,11640
234040,88295
234051,31662
234066,154636
234170,44854
234185,38222
234388,32465
234499,138778
234512,73469
234715,63006
234809,21147
234828,118386
234851,76959
234870,154636
234872,52343
234898,12564
235044,75128
235091,44854
235172,154636
235243,12564
235319,65520
235343,21147
235350,126146
235356,63006
235500,21147
235510,47193
235566,144762
235732,116489
235733,136244
235796,36685
235856,69209
235904,81495
236128,63006
236415,32465
236489,80030
236578,40336
236587,144267
236593,164252
236639,57018
237013,31662
237048,21147
237082,160476
237120,101181
237139,132782
237381,21147
237484,65520
237528,17470
237590,79520
237607,125756
237833,151327
237890,37995
237983,20308
238024,103652
238056,63006
238080,57161
238153,107012
238177,154636
238183,75527
238228,123578
238357,44854
238379,60230
238416,57018
238515,138151
238573,154636
238581,109728
238606,14163
238612,84389
238642,166707
238888,164252
238951,127735
238960,66291
239113,81708
239306,12564
239337,57018
239350,78694
239488,57018
239507,144170
239528,12564
239631,161870
239644,153551
239765,25987
239774,37957
239893,153551
240079,14433
240347,96887
240355,30528
240523,69209
240545,70839
240551,21147
240576,154636
240597,20308
240760,281
240820,31662
240861,65520
240871,60230
240900,125756
240977,65520
241017,152478
241024,75877
241110,57018
241357,65520
241384,152179
241435,75877
241517,63006
241526,145990
241588,5825
241730,66291
241801,81462
241816,21147
242034,12564
242036,13785
242142,6809
242167,73842
242178,166707
242199,12564
242259,31662
242319,154636
242506,151327
242512,116489
242528,158623
242788,37957
242913,18412
242940,154636
243029,125756
243144,149641
243161,36307
243280,63006
243361,102110
243466,31662
243493,79636
243501,149854
243528,44854
243539,44854
243733,52343
243816,59038
243828,44854
243905,52596
243964,154636
244006,61531
244109,59820
244231,79520
244413,151327
244431,44854
244497,44854
244552,36307
244641,152179
244941,108824
244944,125756
245036,31662
245306,166354
245436,70839
245447,154636
245480,5505
245868,44854
246036,166876
246076,154636
246160,40943
246376,61531
246378,145946
246402,41101
246441,37995
246467,44854
246537,69209
246723,169819
246808,154636
246823,42199
246825,57161
246885,121342
246972,116597
247093,31662
247149,44854
247346,116489
247519,154636
247561,63006
247690,24679
247693,38222
247837,57018
247855,126146
248010,65520
248019,44854
248101,89802
248226,125704
248236,31662
248274,12564
248297,138151
248314,152478
248383,52343
248451,74517
248484,126146
248500,70839
248581,69355
248604,154636
248690,63310
248802,158864
248914,68767
248935,131300
249059,169819
249061,128988
249172,126146
249370,154636
249374,154636
249534,34724
249727,111225
249819,154636
250035,31662
250216,52343
250261,18412
250386,20308
250464,62863
250469,57018
250609,31662
250695,81708
250726,70839
250756,154636
250773,117996
251065,60230
251117,154636
251348,154636
251469,63006
251547,57018
251560,12564
251689,24679
251717,31662
251785,12564
251965,166876
252221,115863
252316,15259
252337,31662
252343,154636
252351,142140
